"","BrandName","n","percent","Total_selling_price","Clearance_Date"
"1","vastranand",1541,0.0683370288248337,52054,2022-12-17
"2","zink london",918,0.040709534368071,3120,2022-12-30
"3","global desi",819,0.0363192904656319,1140,2022-12-22
"4","janasya",751,0.0333037694013304,16440,2022-12-22
"5","stop",722,0.0320177383592018,235778,2022-12-21
"6","faballey",645,0.0286031042128603,7595,2022-12-09
"7","and",628,0.0278492239467849,18198,2022-12-30
"8","life",588,0.0260753880266075,303275,2022-12-21
"9","juniper",559,0.0247893569844789,56845,2022-12-26
"10","varanga",541,0.0239911308203991,66908,2022-12-07
"11","ziyaa",523,0.0231929046563193,75247,2022-12-06
"12","vero moda",455,0.0201773835920177,1010276,2022-12-23
"13","enamor",442,0.0196008869179601,207520,2022-12-14
"14","haute curry",396,0.0175609756097561,6723,2022-12-07
"15","indya",384,0.0170288248337029,8192,2022-12-24
"16","kraus",383,0.0169844789356984,81561,2022-12-09
"17","only",383,0.0169844789356984,2799,2022-12-24
"18","yuris",375,0.016629711751663,295542,2022-12-19
"19","latin quarters",367,0.0162749445676275,88321,2022-12-08
"20","insense",360,0.0159645232815965,1520,2022-12-29
"21","myshka",347,0.0153880266075388,504911,2022-12-21
"22","infuse",346,0.0153436807095344,2695,2022-12-23
"23","crimsoune club",299,0.0132594235033259,4058,2022-12-06
"24","ayesha",298,0.0132150776053215,80870,2022-12-14
"25","kashish",270,0.0119733924611973,1083883,2022-12-28
"26","aurelia",263,0.0116629711751663,392505,2022-12-25
"27","w",261,0.0115742793791574,84644,2022-12-16
"28","sera",254,0.0112638580931264,841,2022-12-26
"29","biba",251,0.0111308203991131,104683,2022-12-10
"30","erotissch",247,0.0109534368070953,148262,2022-12-26
"31","catwalk",237,0.010509977827051,49853,2022-12-27
"32","madame",227,0.0100665188470067,164018,2022-12-22
"33","dolce crudo",216,0.00957871396895787,172092,2022-12-03
"34","allen solly",215,0.00953436807095344,314486,2022-12-30
"35","inc.5",214,0.009490022172949,168576,2022-12-27
"36","rare",212,0.00940133037694013,36671,2022-12-02
"37","shoetopia",210,0.00931263858093126,3920,2022-12-04
