"","BrandName","Details","Sizes","MRP_Rs","SellPrice_Rs","Discount_Percent","Category","SellingDate"
"1","life","solid cotton blend collar neck womens a-line dress - indigo","Size:Large,Medium,Small,X-Large,X-Small",1699,849,50,"Westernwear-Women",2022-08-22
"2","only","polyester peter pan collar womens blouson dress - yellow","Size:34,36,38,40",3499,2449,30,"Westernwear-Women",2022-09-12
"3","fratini","solid polyester blend wide neck womens regular top - off white","Size:Large,X-Large,XX-Large",1199,599,50,"Westernwear-Women",2022-06-18
"4","zink london","stripes polyester sweetheart neck womens dress - black","Size:Large,Medium,Small,X-Large",2299,1379,40,"Westernwear-Women",2022-09-15
"5","life","regular fit regular length denim womens jeans - stone","Size:26,28,30,32,34,36",1699,849,50,"Westernwear-Women",2022-06-18
"6","kraus","wide ankle length cotton womens jeans - light blue","Size:26,28,30,32,34",1795,1615,10,"Westernwear-Women",2022-10-29
"7","life","printed cotton blend collared womens regular dress - white","Size:Large,Medium,Small,X-Large,X-Small",1299,649,50,"Westernwear-Women",2022-09-25
"8","fratini","embroidered wide neck polyester womens regular top - blush","Size:XX-Large",1299,649,50,"Westernwear-Women",2022-10-16
"9","rare","floral polyester v neck womens flared dress - navy","Size:Large,Medium,Small,X-Large",2099,839,60,"Westernwear-Women",2022-10-06
"10","rare","checks cotton boat neck womens regular top - black","Size:Medium,Small,X-Large",1499,599,60,"Westernwear-Women",2022-06-02
"11","life","solid square neck cotton womens regular dress - pink","Size:Large,Medium,Small,X-Large,X-Small",1499,749,50,"Westernwear-Women",2022-10-07
"12","life","regular fit regular length denim womens jeans - indigo","Size:26,28,30,32,34,36",999,499,50,"Westernwear-Women",2022-10-22
"13","life","printed blended round neck womens shift dress - orange","Size:Large,Medium,Small,X-Large,X-Small",1499,749,50,"Westernwear-Women",2022-07-16
"14","life","printed jersey round neck womens t-shirt - black","Size:Large,Medium,Small,X-Large,X-Small",599,299,50,"Westernwear-Women",2022-10-24
"15","life","printed crepe square neck womens top - blue","Size:Large,Medium,Small,X-Large,X-Small",999,499,50,"Westernwear-Women",2022-10-13
"16","life","solid cotton collar neck womens shirt - pink","Size:Large,Medium,Small,X-Large,X-Small",1199,599,50,"Westernwear-Women",2022-10-27
"17","life","solid cotton lycra round neck womens t-shirt - white","Size:Large,Medium,Small,X-Small",599,299,50,"Westernwear-Women",2022-08-12
"18","life","printed cotton collar neck womens shirt - white","Size:Large,Medium,Small,X-Large,X-Small",1299,649,50,"Westernwear-Women",2022-07-22
"19","van heusen","solid cotton v neck womens formal shirt - maroon","Size:Large,Small,X-Small",1999,799,60,"Westernwear-Women",2022-09-07
"20","life","regular fit regular length denim womens jeans - mid stone","Size:26,28,30,32,34,36",1999,999,50,"Westernwear-Women",2022-09-02
"21","fratini","solid round neck viscose womens regular dress - olive","Size:Large,Medium,Small,X-Large,XX-Large",1499,749,50,"Westernwear-Women",2022-10-10
"22","life","solid wide neck viscose womens regular top - blue","Size:Large,Medium,Small,X-Large,X-Small",1299,649,50,"Westernwear-Women",2022-10-11
"23","stop","printed regular neck cotton womens formal shirt - ecru","Size:Large,Medium,Small,X-Large,XX-Large",799,399,50,"Westernwear-Women",2022-06-12
"24","life","regular fit regular length denim womens jeans - mid stone","Size:26,28,30,32,34,36",1999,999,50,"Westernwear-Women",2022-08-28
"25","zink london","floral viscose sweetheart neck womens dress - green","Size:Medium,Small,X-Small,XX-Large",2799,1679,40,"Westernwear-Women",2022-08-18
"26","life","printed viscose v neck womens regular woven top - off white","Size:Large,Medium,Small,X-Large,X-Small",1199,599,50,"Westernwear-Women",2022-09-27
"27","life","printed cotton blend v neck womens top - pink","Size:Large,Medium,Small,X-Large,X-Small",999,499,50,"Westernwear-Women",2022-09-27
"28","stop","printed regular neck cotton womens formal shirt - black","Size:Large,Medium,Small,X-Large,XX-Large",899,449,50,"Westernwear-Women",2022-06-27
"29","life","printed cotton blend round neck womens t-shirt - white","Size:Large,Medium,Small,X-Large,X-Small",999,499,50,"Westernwear-Women",2022-11-11
"30","life","embroidered viscose square neck womens regular top - white","Size:Large,Medium,Small,X-Large,X-Small",1199,599,50,"Westernwear-Women",2022-10-17
"31","life","regular fit regular length denim womens jeans - indigo","Size:26,28,30,32,34,36,Medium",1699,849,50,"Westernwear-Women",2022-09-28
"32","life","printed cotton lycra round neck womens t-shirt - pink mix","Size:Large,Medium,Small,X-Large,X-Small",699,349,50,"Westernwear-Women",2022-09-25
"33","cover story","solid round neck cotton womens regular dress - dark brown","Size:Large,Medium,Small,X-Large,X-Small",2890,1445,50,"Westernwear-Women",2022-07-30
"34","infuse","printed square neck rayon womens dress - pink","Size:Large,Medium,Small,X-Large,X-Small",1999,999,50,"Westernwear-Women",2022-11-07
"35","allen solly","solid rayon regular fit womens trousers - black","Size:26,28,30,32,34,36",1299,1039,20,"Westernwear-Women",2022-07-21
