"","Details","MRP_Rs","SellPrice_Rs","Discount_Percent","SellingDate","Quantity"
"1","solid cotton blend collar neck womens a-line dress - indigo",2500,849,50,2022-08-22,7
"2","polyester peter pan collar womens blouson dress - yellow",3499,2449,30,2022-09-12,8
"3","solid polyester blend wide neck womens regular top - off white",1199,599,50,2022-06-18,7
"4","stripes polyester sweetheart neck womens dress - black",2299,1379,40,2022-09-15,8
"5","regular fit regular length denim womens jeans - stone",1699,849,50,2022-06-18,9
"6","wide ankle length cotton womens jeans - light blue",1795,1615,10,2022-10-29,7
"7","printed cotton blend collared womens regular dress - white",1299,649,50,2022-09-25,7
"8","embroidered wide neck polyester womens regular top - blush",1299,649,50,2022-10-16,7
"9","floral polyester v neck womens flared dress - navy",2099,839,60,2022-10-06,8
"10","checks cotton boat neck womens regular top - black",1499,599,60,2022-06-02,9
"11","solid square neck cotton womens regular dress - pink",1499,749,50,2022-10-07,7
"12","regular fit regular length denim womens jeans - indigo",999,499,50,2022-10-22,8
"13","printed blended round neck womens shift dress - orange",1499,749,50,2022-07-16,9
"14","printed jersey round neck womens t-shirt - black",599,299,50,2022-10-24,8
"15","printed crepe square neck womens top - blue",999,499,50,2022-10-13,9
"16","solid cotton collar neck womens shirt - pink",1199,599,50,2022-10-27,8
"17","solid cotton lycra round neck womens t-shirt - white",599,299,50,2022-08-12,9
"18","printed cotton collar neck womens shirt - white",1299,649,50,2022-07-22,8
"19","solid cotton v neck womens formal shirt - maroon",1999,799,60,2022-09-07,8
"20","regular fit regular length denim womens jeans - mid stone",1999,999,50,2022-09-02,7
"21","solid round neck viscose womens regular dress - olive",1499,749,50,2022-10-10,9
"22","solid wide neck viscose womens regular top - blue",1299,649,50,2022-10-11,8
"23","printed regular neck cotton womens formal shirt - ecru",799,399,50,2022-06-12,8
"24","regular fit regular length denim womens jeans - mid stone",1999,999,50,2022-08-28,9
"25","floral viscose sweetheart neck womens dress - green",2799,1679,40,2022-08-18,8
"26","printed viscose v neck womens regular woven top - off white",1199,599,50,2022-09-27,7
"27","printed cotton blend v neck womens top - pink",999,499,50,2022-09-27,9
"28","printed regular neck cotton womens formal shirt - black",899,449,50,2022-06-27,8
"29","printed cotton blend round neck womens t-shirt - white",999,499,50,2022-11-11,7
"30","embroidered viscose square neck womens regular top - white",1199,599,50,2022-10-17,8
"31","regular fit regular length denim womens jeans - indigo",1699,849,50,2022-09-28,9
"32","printed cotton lycra round neck womens t-shirt - pink mix",699,349,50,2022-09-25,7
"33","solid round neck cotton womens regular dress - dark brown",2890,1445,50,2022-07-30,7
"34","printed square neck rayon womens dress - pink",1999,999,50,2022-11-07,9
"35","solid rayon regular fit womens trousers - black",1299,1039,20,2022-07-21,7
"36","regular fit regular length cotton womens loungewear short set - pink",899,359,60,2022-07-31,7
"37","solid polyester collar neck womens shirt - black",1699,999,41,2022-09-13,9
"38","solid viscose round neck womens regular top - sage",999,499,50,2022-10-14,9
"39","printed polyester round neck womens dress - black",4490,3143,30,2022-10-08,7
"40","printed collar neck polyester womens regular top - navy",999,499,50,2022-06-13,9
"41","lace polyester round neck womens dress - green",3299,1979,40,2022-08-22,9
"42","solid viscose v-neck womens regular top - mustard",999,499,50,2022-07-29,7
"43","printed v-neck polyester womens regular dress - natural",1899,949,50,2022-07-12,7
"44","floral polyester off shoulder womens flared dress - black",1899,854,55,2022-11-06,9
"45","printed viscose wide neck womens regular dress - pink",1299,649,50,2022-09-08,8
"46","printed skinny fit cotton blend womens active wear track pants - grey",999,499,50,2022-08-15,7
"47","printed regular neck cotton womens formal shirt - blue denim",899,449,50,2022-11-07,7
"48","regular fit regular length denim womens jeans - olive",1999,999,50,2022-07-20,8
"49","solid polyester round neck womens a-line dress - navy",1499,674,55,2022-07-12,7
"50","solid polyester v neck womens top - yellow",1399,839,40,2022-09-30,9
"51","printed cotton blend collar neck womens t-shirt - red",999,499,50,2022-11-05,9
"52","printed polyester blend square neck womens dress - green",2699,1619,40,2022-07-03,7
"53","solid polyester scoop neck womens bodycon dress - baby pink",2499,1499,40,2022-07-16,8
"54","floral polyester v neck womens flared dress - blue",2099,944,55,2022-07-07,9
"55","solid round neck viscose womens regular dress - black",1499,749,50,2022-07-23,7
"56","solid georgette collar neck womens top - olive",1499,399,73,2022-09-25,8
"57","solid comfort fit polyester womens casual wear trousers - black",1599,719,55,2022-10-18,9
"58","regular fit polyester womens casual trousers - pink",2590,1813,30,2022-07-10,7
"59","printed v neck polyester womens a-line dress - green",2299,1149,50,2022-10-28,8
"60","polka dots boat neck viscose womens regular dresses - pink",2899,2319,20,2022-08-29,9
"61","solid cotton v neck womens formal shirt - green",1999,799,60,2022-10-23,8
"62","printed cotton lycra round neck womens t-shirt - yellow",699,349,50,2022-09-06,8
"63","solid cotton blend round neck womens t-shirt - pink",899,449,50,2022-10-10,8
"64","printed georgette round neck womens regular dress - pink",2800,2240,20,2022-06-26,7
"65","floral polyester v neck womens flared dress - natural",2099,944,55,2022-07-28,8
"66","solid polyester round neck womens a-line dress - red",1999,799,60,2022-08-08,9
"67","solid georgette round neck womens top - maroon",1399,559,60,2022-08-14,7
"68","printed viscose regular neck womens top - white",999,499,50,2022-09-22,9
"69","printed viscose collar neck womens a-line dress - black",1599,799,50,2022-07-31,7
"70","solid cotton lycra round neck womens t-shirt - off white",699,349,50,2022-10-14,7
"71","printed jersey round neck womens t-shirt - lilac",599,299,50,2022-10-22,8
"72","checks cotton womens top - white",1999,1399,30,2022-07-30,9
"73","regular fit regular length cotton lycra womens jeans - white",1299,649,50,2022-08-23,8
"74","solid polyester collar neck womens top - black",1699,999,41,2022-08-09,8
"75","solid polyester round neck womens a-line dress - aubergine",1599,799,50,2022-08-21,9
"76","printed cotton lycra round neck womens t-shirt - pink",699,349,50,2022-08-03,9
"77","solid round neck viscose womens regular dress - tan",1499,749,50,2022-07-18,9
"78","super skinny fit ankle length cotton blend womens jeans - blue",1995,1396,30,2022-08-19,9
"79","checks cotton blend collar neck womens regular top - sage",1299,649,50,2022-10-15,7
"80","embroidered cotton blend round neck womens top - blue",1299,649,50,2022-08-29,7
"81","solid polyester blend boat neck womens flared dress - black",1699,764,55,2022-07-29,7
"82","solid polyester square neck womens flared dress - sage",2699,2159,20,2022-09-02,7
"83","solid cotton blend round neck womens t-shirt - natural",899,449,50,2022-09-22,7
